名前 属性1 属性2 H A B C D S 合計
Nこいし 無 樹 110 75 75 115 100 85 560
NリリーW 無 樹 135 100 80 30 80 75 500
阿求 無  80 30 40 30 50 30 260
N大妖精 樹 風 120 100 75 30 100 75 500
T静葉 樹 地 125 105 90 60 90 60 530
D幽香 樹 地 120 70 100 120 90 60 560
N勇儀 闘 鋼 110 150 110 60 90 40 560
AD美鈴 闘 霊 110 110 90 70 90 90 560
D一輪 闘 鋼 105 40 110 105 120 50 530
H永琳 毒 神 105 50 100 115 105 85 560
T雛 毒 神 105 105 80 100 80 60 530
Dメディスン 毒 虫 120 40 100 90 110 70 530
S藍 地 闘 90 95 70 105 80 120 560
Aてゐ 地 闇 85 80 65 130 90 95 545
Dパチュリー 地 雷 95 45 100 120 155 30 545
とり 風  85 90 90 90 90 100 545
Aはたて 風 理 105 50 85 130 100 75 545
Sはたて 風 理 95 50 70 105 90 135 545
Nヤマメ 虫 地 125 65 90 105 85 60 530
Nリグル 虫 岩 125 90 100 50 90 75 530
Nキクリ 岩 氷 120 80 110 110 80 60 560
Nレイセン 岩 理 105 30 80 110 90 100 515
T鈴仙 岩 鋼 100 50 80 120 105 90 545
ミミちゃん 鋼 炎 75 135 65 50 65 110 500
Hナズーリン 鋼 雷 100 110 80 60 90 90 530
T紫 鋼 虫 110 110 100 80 100 80 580
Dレイラ 霊 無 120 40 105 90 120 40 515
Nメルラン 霊 雷 105 40 70 120 90 90 515
Hメルラン 霊 鋼 105 50 70 125 85 80 515
S小傘 水 樹 110 40 80 105 90 105 530
Hちゆり 水 理 105 90 70 105 100 75 545
ぱるきあ 神 水 120 90 90 100 100 60 560
輪妖精 雷 氷 105 40 80 110 75 90 500
A衣玖 雷 闘 90 80 85 125 90 75 545
Nルナ 雷 樹 120 40 75 105 85 75 500
Dチルノ 氷 水 145 40 100 90 80 60 515
S幻月 氷 風 90 80 85 110 75 105 545
Hレティ 氷 樹 115 60 80 100 90 85 530
Tアリス 理 闘 120 105 75 60 105 80 545
D慧音 理 地 105 30 90 105 120 80 530
ADアリス 理 水 125 40 100 90 130 75 560
T空 炎 神 95 90 85 140 75 75 560
Sフラン 炎 闇 90 110 80 110 60 110 560
A妹紅 炎  90 90 90 130 80 80 560
T早苗 神 地 120 80 100 90 100 55 545
T先代の巫女 神 霊 110 150 90 80 90 60 580
T神奈子 神 樹 105 125 80 80 90 80 560
Tルーミア 闇 毒 120 75 85 70 100 80 530
Dパルスィ 闇 霊 120 70 110 90 85 55 530
魔天使 闇 雷 120 40 100 100 85 70 515
