名前 属性1 属性2 H A B C D S 合計
Sこいし 無  105 70 75 120 90 100 560
A紫 無  110 90 85 120 85 90 580
Nさとり 無  100 95 85 95 85 85 545
N大妖精 樹 風 120 100 75 30 100 75 500
D幽香 樹 地 120 70 100 120 90 60 560
A静葉 樹  90 140 80 50 90 80 530
Hオレンジ 闘  145 100 75 70 85 55 530
T美鈴 闘 水 130 110 85 50 80 75 530
AD美鈴 闘 霊 110 110 90 70 90 90 560
Tメディスン 毒 風 120 30 90 90 110 90 530
D永琳 毒 水 125 50 100 100 110 75 560
H雛 毒  110 90 100 90 80 60 530
AD藍 地 闇 120 100 80 110 90 80 580
T勇儀 地 鋼 110 145 90 80 90 45 560
Dパチュリー 地 雷 95 45 100 120 155 30 545
JK早苗 風 水 105 80 85 110 90 90 560
D天魔 風 地 110 60 115 100 95 80 560
Aはたて 風 理 105 50 85 130 100 75 545
Dリグル 虫 雷 125 90 100 40 125 50 530
Tヤマメ 虫 闇 105 60 95 105 85 80 530
T萃香 岩  180 125 100 40 85 30 560
H萃香 岩 炎 155 125 75 110 60 35 560
Sレイセン 岩 風 105 40 75 100 85 110 515
N咲夜 鋼 氷 120 100 90 60 90 85 545
H咲夜 鋼  110 90 90 90 90 75 545
H夢子 鋼 闇 110 100 105 70 100 60 545
Nコンガラ 霊 鋼 110 120 90 80 110 70 580
Hレイラ 霊 理 120 40 80 110 90 75 515
Tリリカ 霊 氷 110 40 85 90 110 80 515
A小傘 水 氷 105 40 80 120 100 85 530
Hスター 水 岩 120 40 85 95 85 75 500
ぱるきあ 神 水 120 90 90 100 100 60 560
Nルナ 雷 樹 120 40 75 105 85 75 500
N屠自古 雷 霊 125 60 85 100 110 50 530
A衣玖 雷 闘 90 65 90 130 90 80 545
でぃあるが 氷 神 105 60 90 125 80 100 560
S咲夜 氷 闇 85 120 70 60 90 120 545
Nレティ 氷  100 80 90 80 90 90 530
D映姫 理 神 125 45 100 110 110 70 560
A理香子 理 鋼 90 80 75 125 100 60 530
Nパチュリー 理 樹 80 50 70 125 150 70 545
Tフラン 炎 氷 90 130 70 80 90 100 560
りざーどん 炎 神 120 80 90 90 80 100 560
Tサニー 炎 岩 120 30 85 90 85 90 500
N神子 神 霊 105 80 80 120 90 85 560
A神子 神 鋼 90 90 85 130 90 75 560
神玉 神  140 80 90 80 90 50 530
Aレミリア 闇 闘 100 140 90 80 80 70 560
魔天使 闇 雷 120 40 100 100 85 70 515
Nぬえ 闇 毒 120 100 80 80 95 85 560
