名前 属性1 属性2 H A B C D S 合計
阿求 無  80 30 40 30 50 30 260
Tさとり 無  90 95 95 100 105 60 545
HリリーW 無  120 90 110 40 90 50 500
H穣子 樹 地 125 60 90 80 95 80 530
D幽香 樹 地 120 70 100 120 90 60 560
Aユウカ 樹 氷 105 80 80 125 90 80 560
A美鈴 闘 神 100 125 85 80 80 60 530
A一輪 闘 雷 100 50 80 120 110 70 530
T美鈴 闘 水 125 100 85 70 80 70 530
Nマガン 毒 雷 130 85 80 100 90 60 545
T雛 毒 神 105 105 80 100 80 60 530
D永琳 毒 水 125 50 100 100 110 75 560
Hてゐ 地  125 50 90 90 110 80 545
Aてゐ 地 闇 80 90 60 130 90 95 545
T勇儀 地 鋼 110 145 80 90 90 45 560
とり 風  85 90 90 90 90 100 545
N文 風 無 110 105 85 40 95 110 545
ADミスティ 風 虫 120 50 105 105 90 75 545
Nヤマメ 虫 地 125 65 90 105 85 60 530
A大妖精 虫 水 115 120 75 40 85 65 500
S慧音 岩 無 120 105 80 60 80 100 545
N橙 岩  110 110 90 30 80 110 530
AD橙 岩 闇 95 115 80 50 90 115 545
Hナズーリン 鋼 雷 90 105 75 95 85 80 530
N明羅 鋼 闇 85 110 70 105 75 85 530
Aゴリアテ 鋼  125 140 100 75 80 40 560
Nルナサ 霊 無 120 40 85 110 85 75 515
ぎらてぃな 霊 神 110 95 105 95 105 50 560
N小傘 霊 氷 120 50 85 105 90 80 530
H村紗 水 鋼 95 90 80 100 90 75 530
Dにとり 水 鋼 120 75 105 90 100 55 545
Nスター 水 樹 105 40 100 95 100 60 500
D衣玖 雷 無 130 60 105 90 110 50 545
A衣玖 雷 闘 90 80 85 125 90 75 545
Hルナ 雷 水 100 40 85 100 90 85 500
Sチルノ 氷 闘 100 105 75 60 70 105 515
でぃあるが 氷 神 105 60 90 125 80 100 560
Nチルノ 氷 風 115 60 80 100 70 90 515
N聖 理 神 105 90 80 105 90 90 560
H小悪魔 理 風 105 30 80 105 90 90 500
Tパチュリー 理 鋼 100 50 90 125 120 60 545
A妹紅 炎  90 90 90 130 80 80 560
D妹紅 炎 闇 125 70 105 90 100 70 560
H燐 炎 地 100 65 80 105 100 95 545
神玉 神  140 80 90 80 90 50 530
H早苗 神 風 130 60 85 90 90 90 545
N神子 神 霊 105 80 80 120 90 85 560
Tパルスィ 闇 樹 135 40 105 95 80 75 530
魔天使 闇 雷 120 40 100 100 85 70 515
Nぬえ 闇 毒 120 100 80 80 95 85 560
