名前 属性1 属性2 H A B C D S 合計
N霊夢 無  110 110 85 90 85 100 580
霖之助 無  80 80 80 80 80 60 460
Tさとり 無  90 95 95 100 105 60 545
Aユウカ 樹 氷 105 80 80 125 90 80 560
A輝夜 樹 理 130 50 80 150 100 50 560
N穣子 樹  120 60 90 90 90 80 530
N勇儀 闘 鋼 110 145 110 75 80 40 560
S美鈴 闘 風 110 90 90 70 70 100 530
Hオレンジ 闘  145 100 75 70 85 55 530
H雛 毒  110 90 100 90 80 60 530
D雛 毒 鋼 110 80 110 80 90 60 530
Hメディスン 毒 地 105 60 100 80 105 80 530
がぶりあす 地 雷 100 100 80 100 80 100 560
Sてゐ 地 岩 100 40 70 100 105 120 535
Hルイズ 地 風 120 90 90 80 75 75 530
とり 風  85 90 90 90 90 100 545
A文 風 闘 95 120 80 40 90 120 545
Nミスティア 風 毒 125 40 105 100 90 70 530
Dリグル 虫 雷 125 90 100 40 125 50 530
Nリグル 虫 岩 125 90 100 50 90 75 530
Nレイセン 岩 理 105 30 80 110 90 100 515
H萃香 岩 炎 155 125 75 110 60 35 560
T萃香 岩  180 125 100 40 85 30 560
D里香 鋼 炎 70 105 125 110 90 60 560
Dナズーリン 鋼 無 130 80 110 60 90 60 530
D妖夢 鋼 霊 110 105 110 75 90 55 545
Dレイラ 霊 無 120 40 105 90 120 40 515
N小傘 霊 氷 120 50 85 105 90 80 530
Tルナサ 霊 岩 120 40 85 110 80 80 515
N村紗 水 霊 110 70 80 95 110 65 530
Nスター 水 樹 105 40 100 95 100 60 500
Nにとり 水 雷 90 75 90 120 80 90 545
A衣玖 雷 闘 90 80 85 125 90 75 545
T魔理沙 雷 炎 100 40 80 135 105 85 545
Nルナ 雷 樹 120 40 75 105 85 75 500
ADレティ 氷 鋼 100 70 85 125 90 90 560
でぃあるが 氷 神 105 60 90 125 80 100 560
Sチルノ 氷 闘 100 105 75 60 70 105 515
ADアリス 理 水 120 50 100 90 125 75 560
T小悪魔 理 炎 110 30 80 110 90 80 500
H慧音 理  120 30 80 115 105 80 530
A燐 炎 霊 80 80 75 135 85 90 545
A空 炎 風 95 90 85 160 75 55 560
Dキスメ 炎 水 110 85 135 30 125 30 515
A先代の巫女 神 闘 120 160 100 90 80 30 580
T早苗 神 地 120 80 100 90 100 55 545
H早苗 神 風 130 60 85 90 90 90 545
呪い子 闇 水 105 105 105 40 85 75 515
Sエリス 闇 雷 90 90 65 125 80 110 560
Sレミリア 闇 闘 120 90 90 60 90 110 560
